stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
SMC01824,2012-06-21T07:00:00Z,0.5429201255284528,SMC01824,34.09116,-117.75598,405,Los Angeles,San Gabriel
SMC01902,2012-07-16T07:00:00Z,0.611378237491812,SMC01902,34.01036,-117.85602,405,Los Angeles,San Gabriel
SMC01464,2012-06-07T07:00:00Z,0.5580426270119135,SMC01464,34.27516,-118.52666,412,Los Angeles,Los Angeles
SMC01656,2012-06-06T07:00:00Z,0.6293702933894343,SMC01656,34.15633,-118.53627,412,Los Angeles,Los Angeles
SMC01662,2012-07-09T07:00:00Z,0.6797869012211643,SMC01662,33.9248,-117.95665,845,Orange,San Gabriel
909M24937,2016-06-22T07:00:00Z,1.1186333483601114,909M24937,32.81935,-116.70775,909,San Diego,Southern San Diego
SMC01454,2012-07-16T07:00:00Z,0.6411634891682931,SMC01454,33.95504,-117.86127,405,Los Angeles,San Gabriel
SMC01260,2012-07-16T07:00:00Z,0.8085099368555512,SMC01260,34.06502,-117.97473,405,Los Angeles,San Gabriel
SMC01413,2012-07-09T07:00:00Z,1.0622234293036756,SMC01413,33.30552,-116.80627,903,San Diego,Northern San Diego
SMC09325,2012-06-21T07:00:00Z,0.7623383703337034,SMC09325,33.56252,-117.12886,902,Riverside,Northern San Diego
SMC35837,2012-06-25T07:00:00Z,0.804816822188974,SMC35837,33.7364,-116.8261,802,Riverside,San Jacinto
SMC29064,2012-06-25T07:00:00Z,1.0062145027271365,SMC29064,33.79564,-116.7426,802,Riverside,San Jacinto
SMC11593,2012-06-21T07:00:00Z,0.645801788885851,SMC11593,33.4646,-117.27796,902,Riverside,Northern San Diego
SMC01096,2016-06-14T07:00:00Z,0.7859637099719088,SMC01096,34.28465,-118.29343,412,Los Angeles,Los Angeles
SMC16266,2011-08-01T07:00:00Z,0.7939622021049949,SMC16266,32.81855,-116.75313,909,San Diego,Southern San Diego
SMC16980,2011-07-06T07:00:00Z,0.6803026924791017,SMC16980,34.43268,-119.24974,402,Ventura,Ventura
SMC18169,2011-06-20T07:00:00Z,0.5921148759812088,SMC18169,33.89175,-117.57191,801,Riverside,Middle Santa Ana
SMC21371,2011-06-20T07:00:00Z,0.5817931461876091,SMC21371,33.8945,-117.57861,801,Riverside,Middle Santa Ana
SMC11181,2011-06-21T07:00:00Z,0.7638195127414481,SMC11181,33.88882,-117.50296,801,Riverside,Middle Santa Ana
SMC25288,2011-06-30T07:00:00Z,0.9047901402297709,802S25288,33.71951,-116.76214,802,Riverside,San Jacinto
SMC24921,2012-06-28T07:00:00Z,0.7274422591681725,SMC24921,33.87828,-117.55361,801,Riverside,Middle Santa Ana
SMC09162,2011-08-01T07:00:00Z,0.6973901320466608,SMC09162,32.84087,-116.70988,909,San Diego,Southern San Diego
SMC10146,2011-06-28T07:00:00Z,1.2157521227824557,802S10146,33.7054,-116.73355,802,Riverside,San Jacinto
SMC11394,2011-06-30T07:00:00Z,0.8396480512067602,802S11394,33.71295,-116.7678,802,Riverside,San Jacinto
SMC02464,2011-06-22T07:00:00Z,1.062420008513792,801S02464,34.24635,-117.64321,801,San Bernardino,Middle Santa Ana
SMC12862,2011-06-27T07:00:00Z,0.8022609996246255,SMC12862,33.92148,-118.11149,405,Los Angeles,San Gabriel
SMC16045,2012-06-28T07:00:00Z,0.6313903035623144,SMC16045,33.8819,-117.52249,801,Riverside,Middle Santa Ana
SMC06863,2011-07-21T07:00:00Z,0.8995295118887803,SMC06863,34.49417,-119.30534,402,Ventura,Ventura
SMC05524,2011-06-30T07:00:00Z,0.39132236279735366,SMC05524,34.27032,-118.91723,408,Ventura,Calleguas
SMC07085,2011-06-21T07:00:00Z,0.6400165545758156,SMC07085,33.88382,-117.51705,801,Riverside,Middle Santa Ana
SMC05199,2011-07-06T07:00:00Z,0.889520670974357,SMC05199,34.40412,-119.28071,402,Ventura,Ventura
SMC05402,2011-07-28T07:00:00Z,0.8261011981862586,SMC05402,32.80468,-116.57311,911,San Diego,Southern San Diego
SMC05407,2011-07-21T07:00:00Z,1.0182954826659214,SMC05407,34.50124,-119.35043,402,Ventura,Ventura
SMC04682,2011-07-25T07:00:00Z,0.5735819026977699,SMC04682,32.97115,-116.64814,907,San Diego,Mission Bay and San Diego River
SMC04795,2011-07-14T07:00:00Z,0.8743739291790049,SMC04795,34.47989,-119.17067,402,Ventura,Ventura
SMC05165,2011-06-22T07:00:00Z,0.6260400685898373,SMC05165,33.58183,-117.25571,902,Riverside,Northern San Diego
SMC04426,2011-07-25T07:00:00Z,0.8712073293278049,SMC04426,33.00696,-116.66995,907,San Diego,Mission Bay and San Diego River
SMC04661,2011-07-18T07:00:00Z,0.6521364578146895,SMC04661,33.40606,-117.22499,902,San Diego,Northern San Diego
SMC03971,2011-07-11T07:00:00Z,0.6645422590794164,801S03971,33.67551,-117.82775,801,Orange,Lower Santa Ana
SMC03988,2011-06-29T07:00:00Z,0.6207461678413793,SMC03988,34.21322,-118.89766,408,Ventura,Calleguas
SMC04134,2011-07-26T07:00:00Z,0.5102606157927662,SMC04134,32.82874,-117.05243,907,San Diego,Mission Bay and San Diego River
SMC07128,2014-06-03T07:00:00Z,0.540978131005628,SMC07128,34.34428,-118.36042,412,Los Angeles,Los Angeles
SMC03280,2011-08-11T07:00:00Z,1.0856149983141203,SMC03280,34.25685,-117.85652,405,Los Angeles,San Gabriel
SMC03304,2011-06-29T07:00:00Z,0.6330692965695054,SMC03304,34.28829,-118.72312,408,Ventura,Calleguas
SMC03510,2011-07-21T07:00:00Z,0.18942575920821716,SMC03510,32.56363,-116.78734,911,San Diego,Southern San Diego
SMC03110,2011-07-26T07:00:00Z,0.31433127537040517,SMC03110,32.81105,-117.07335,907,San Diego,Mission Bay and San Diego River
SMC03216,2011-07-27T07:00:00Z,0.9685292945931996,SMC03216,34.28092,-117.84093,405,Los Angeles,San Gabriel
SMC03234,2011-06-28T07:00:00Z,0.9929824119848063,802S03234,33.66152,-116.62741,802,Riverside,San Jacinto
SMC02804,2011-06-20T07:00:00Z,0.3009512371226394,SMC02804,34.14534,-118.40866,412,Los Angeles,Los Angeles
SMC02902,2011-08-02T07:00:00Z,0.5033582524724289,906S02902,32.94907,-117.06443,906,San Diego,Central San Diego
SMC02947,2011-07-12T07:00:00Z,0.7168218183692701,801S02947,33.69919,-117.81143,801,Orange,Lower Santa Ana
SMC02536,2011-06-29T07:00:00Z,0.7294817630914494,SMC02536,34.26861,-118.6736,408,Ventura,Calleguas
SMC02591,2011-07-21T07:00:00Z,0.8076297502136339,SMC02591,34.51783,-119.37846,402,Ventura,Ventura
SMC02644,2011-06-30T07:00:00Z,0.7960388821207546,SMC02644,34.18157,-118.88652,408,Ventura,Calleguas
SMC02749,2011-06-27T07:00:00Z,0.5900110692151791,801S02749,33.93015,-117.37435,801,Riverside,Middle Santa Ana
SMC02145,2011-07-19T07:00:00Z,0.5637079581970685,903S02145,33.26934,-117.03146,903,San Diego,Northern San Diego
SMC02206,2011-07-19T07:00:00Z,0.7395778009284281,SMC02206,33.87098,-117.85002,801,Orange,Lower Santa Ana
